image_path,labels
121.Grasshopper_Sparrow/Grasshopper_Sparrow_0068_115799.jpg,120
019.Gray_Catbird/Gray_Catbird_0141_21174.jpg,18
168.Kentucky_Warbler/Kentucky_Warbler_0033_165271.jpg,167
177.Prothonotary_Warbler/Prothonotary_Warbler_0066_174318.jpg,176
184.Louisiana_Waterthrush/Louisiana_Waterthrush_0080_177379.jpg,183
002.Laysan_Albatross/Laysan_Albatross_0096_673.jpg,1
176.Prairie_Warbler/Prairie_Warbler_0047_173210.jpg,175
090.Red_breasted_Merganser/Red_Breasted_Merganser_0081_79396.jpg,89
008.Rhinoceros_Auklet/Rhinoceros_Auklet_0007_797521.jpg,7
010.Red_winged_Blackbird/Red_Winged_Blackbird_0032_4004.jpg,9
175.Pine_Warbler/Pine_Warbler_0009_171869.jpg,174
064.Ring_billed_Gull/Ring_Billed_Gull_0054_51414.jpg,63
030.Fish_Crow/Fish_Crow_0083_25949.jpg,29
131.Vesper_Sparrow/Vesper_Sparrow_0013_109937.jpg,130
186.Cedar_Waxwing/Cedar_Waxwing_0003_178570.jpg,185
134.Cape_Glossy_Starling/Cape_Glossy_Starling_0048_129397.jpg,133
196.House_Wren/House_Wren_0133_187101.jpg,195
120.Fox_Sparrow/Fox_Sparrow_0113_114389.jpg,119
042.Vermilion_Flycatcher/Vermilion_Flycatcher_0053_42184.jpg,41
145.Elegant_Tern/Elegant_Tern_0083_150829.jpg,144
070.Green_Violetear/Green_Violetear_0067_795674.jpg,69
029.American_Crow/American_Crow_0116_25199.jpg,28
049.Boat_tailed_Grackle/Boat_Tailed_Grackle_0047_33500.jpg,48
007.Parakeet_Auklet/Parakeet_Auklet_0032_795986.jpg,6
051.Horned_Grebe/Horned_Grebe_0072_34497.jpg,50
170.Mourning_Warbler/Mourning_Warbler_0074_795367.jpg,169
083.White_breasted_Kingfisher/White_Breasted_Kingfisher_0109_73683.jpg,82
183.Northern_Waterthrush/Northern_Waterthrush_0080_177080.jpg,182
164.Cerulean_Warbler/Cerulean_Warbler_0038_797230.jpg,163
062.Herring_Gull/Herring_Gull_0014_47814.jpg,61
155.Warbling_Vireo/Warbling_Vireo_0022_158144.jpg,154
080.Green_Kingfisher/Green_Kingfisher_0027_71048.jpg,79
006.Least_Auklet/Least_Auklet_0052_795088.jpg,5
093.Clark_Nutcracker/Clark_Nutcracker_0083_85480.jpg,92
043.Yellow_bellied_Flycatcher/Yellow_Bellied_Flycatcher_0062_42693.jpg,42
028.Brown_Creeper/Brown_Creeper_0043_24549.jpg,27
