image_path,labels
n02701002/n02701002_7104.JPEG,0
n02701002/n02701002_5513.JPEG,0
n02701002/n02701002_5654.JPEG,0
n02701002/n02701002_788.JPEG,0
n02701002/n02701002_3346.JPEG,0
n02701002/n02701002_4891.JPEG,0
n02701002/n02701002_4186.JPEG,0
n02701002/n02701002_18507.JPEG,0
n02701002/n02701002_1007.JPEG,0
n02701002/n02701002_212.JPEG,0
n02701002/n02701002_638.JPEG,0
n02701002/n02701002_4351.JPEG,0
n02701002/n02701002_5409.JPEG,0
n02701002/n02701002_13255.JPEG,0
n02701002/n02701002_4264.JPEG,0
n02701002/n02701002_16507.JPEG,0
n02701002/n02701002_5807.JPEG,0
n02701002/n02701002_11954.JPEG,0
n02701002/n02701002_11773.JPEG,0
n02701002/n02701002_5021.JPEG,0
n02701002/n02701002_14440.JPEG,0
n02701002/n02701002_4662.JPEG,0
n02701002/n02701002_3441.JPEG,0
n02701002/n02701002_5800.JPEG,0
n02701002/n02701002_3925.JPEG,0
n02701002/n02701002_3051.JPEG,0
n02701002/n02701002_2894.JPEG,0
n02701002/n02701002_5041.JPEG,0
n02701002/n02701002_11048.JPEG,0
n02701002/n02701002_14241.JPEG,0
n02701002/n02701002_3340.JPEG,0
n02701002/n02701002_11033.JPEG,0
n02701002/n02701002_2306.JPEG,0
n02701002/n02701002_4915.JPEG,0
n02701002/n02701002_4500.JPEG,0
n02701002/n02701002_676.JPEG,0
n02701002/n02701002_4178.JPEG,0
n02701002/n02701002_11738.JPEG,0
n02701002/n02701002_2980.JPEG,0
n02701002/n02701002_5013.JPEG,0
n02701002/n02701002_825.JPEG,0
n02701002/n02701002_9107.JPEG,0
n02701002/n02701002_6092.JPEG,0
n02701002/n02701002_6619.JPEG,0
n02701002/n02701002_1044.JPEG,0
n02701002/n02701002_1144.JPEG,0
n02701002/n02701002_1059.JPEG,0
n02701002/n02701002_1287.JPEG,0
n02701002/n02701002_6437.JPEG,0
n02701002/n02701002_6810.JPEG,0
n02701002/n02701002_17149.JPEG,0
n02701002/n02701002_2464.JPEG,0
n02701002/n02701002_4717.JPEG,0
n02701002/n02701002_4403.JPEG,0
n02701002/n02701002_1332.JPEG,0
n02701002/n02701002_9022.JPEG,0
n02701002/n02701002_3768.JPEG,0
n02701002/n02701002_3563.JPEG,0
n02701002/n02701002_1364.JPEG,0
n02701002/n02701002_3665.JPEG,0
n02701002/n02701002_2343.JPEG,0
n02701002/n02701002_11756.JPEG,0
n02701002/n02701002_6211.JPEG,0
n02701002/n02701002_246.JPEG,0
n02701002/n02701002_6393.JPEG,0
n02701002/n02701002_3857.JPEG,0
n02701002/n02701002_1204.JPEG,0
