image_path,labels
n04065272/n04065272_24030.JPEG,1
n04065272/n04065272_1926.JPEG,1
n04065272/n04065272_29091.JPEG,1
n04065272/n04065272_4164.JPEG,1
n02701002/n02701002_1542.JPEG,0
n04065272/n04065272_15024.JPEG,1
n04065272/n04065272_10488.JPEG,1
n04065272/n04065272_16386.JPEG,1
n04065272/n04065272_19818.JPEG,1
n02701002/n02701002_4992.JPEG,0
n04065272/n04065272_6724.JPEG,1
n02701002/n02701002_12098.JPEG,0
n04065272/n04065272_5837.JPEG,1
n04065272/n04065272_13106.JPEG,1
n04065272/n04065272_15824.JPEG,1
n04065272/n04065272_7555.JPEG,1
n02701002/n02701002_3884.JPEG,0
n04065272/n04065272_22131.JPEG,1
n04065272/n04065272_3677.JPEG,1
n02701002/n02701002_17025.JPEG,0
n04065272/n04065272_19001.JPEG,1
n02701002/n02701002_1269.JPEG,0
n02701002/n02701002_6028.JPEG,0
n04065272/n04065272_20524.JPEG,1
n02701002/n02701002_14591.JPEG,0
n02701002/n02701002_2639.JPEG,0
n02701002/n02701002_3402.JPEG,0
n04065272/n04065272_22704.JPEG,1
n04065272/n04065272_2092.JPEG,1
n04065272/n04065272_8681.JPEG,1
n02701002/n02701002_3528.JPEG,0
n02701002/n02701002_3975.JPEG,0
n04065272/n04065272_17892.JPEG,1
n02701002/n02701002_4915.JPEG,0
n02701002/n02701002_4262.JPEG,0
n02701002/n02701002_10926.JPEG,0
n04065272/n04065272_2639.JPEG,1
n04065272/n04065272_4747.JPEG,1
n04065272/n04065272_8995.JPEG,1
n02701002/n02701002_1117.JPEG,0
n02701002/n02701002_15420.JPEG,0
n02701002/n02701002_3231.JPEG,0
n02701002/n02701002_5162.JPEG,0
n04065272/n04065272_20895.JPEG,1
n02701002/n02701002_12971.JPEG,0
n02701002/n02701002_9931.JPEG,0
n04065272/n04065272_6404.JPEG,1
n04065272/n04065272_1328.JPEG,1
n02701002/n02701002_3434.JPEG,0
n04065272/n04065272_6745.JPEG,1
n04065272/n04065272_15776.JPEG,1
n04065272/n04065272_21860.JPEG,1
n02701002/n02701002_5562.JPEG,0
n04065272/n04065272_15673.JPEG,1
n02701002/n02701002_1714.JPEG,0
n02701002/n02701002_1040.JPEG,0
n04065272/n04065272_19937.JPEG,1
n02701002/n02701002_1547.JPEG,0
n02701002/n02701002_3428.JPEG,0
n04065272/n04065272_6901.JPEG,1
n02701002/n02701002_3379.JPEG,0
n02701002/n02701002_15837.JPEG,0
n04065272/n04065272_10505.JPEG,1
n02701002/n02701002_7569.JPEG,0
n04065272/n04065272_17486.JPEG,1
n04065272/n04065272_20629.JPEG,1
n04065272/n04065272_18766.JPEG,1
n04065272/n04065272_21004.JPEG,1
n02701002/n02701002_4266.JPEG,0
n04065272/n04065272_21132.JPEG,1
n02701002/n02701002_2297.JPEG,0
n02701002/n02701002_1594.JPEG,0
n04065272/n04065272_23003.JPEG,1
n04065272/n04065272_24759.JPEG,1
n02701002/n02701002_3340.JPEG,0
n02701002/n02701002_5103.JPEG,0
n04065272/n04065272_28650.JPEG,1
n02701002/n02701002_1151.JPEG,0
n04065272/n04065272_2171.JPEG,1
n02701002/n02701002_11647.JPEG,0
n04065272/n04065272_16451.JPEG,1
n02701002/n02701002_3008.JPEG,0
n02701002/n02701002_3989.JPEG,0
n02701002/n02701002_2227.JPEG,0
n02701002/n02701002_953.JPEG,0
n04065272/n04065272_6123.JPEG,1
n04065272/n04065272_15767.JPEG,1
n04065272/n04065272_10592.JPEG,1
n04065272/n04065272_15395.JPEG,1
n02701002/n02701002_5409.JPEG,0
n02701002/n02701002_1470.JPEG,0
