images,labels,split
Gdl/Gdl089.jpg,1,train
Gal/Gal240.jpg,1,train
NML/Nml039.jpg,0,train
NGL/Ngl041.jpg,1,train
Gal/Gal062.jpg,0,train
Fgl/Fgl061.jpg,1,train
NLL/Nll050.jpg,0,train
NGL/Ngl008.jpg,1,train
Fll/Fll045.jpg,1,train
NLL/Nll002.jpg,1,train
NEL/Nel010.jpg,0,train
Ael/Ael510.jpg,0,train
Fll/Fll069.jpg,1,train
FBL/Fbl010.jpg,0,train
Fll/Fll023.jpg,0,train
Gal/Gal025.jpg,0,train
NEL/Nel008.jpg,0,train
FEL/Fel072.jpg,0,train
Gbl/Gbl014.jpg,1,train
NBL/Nbl042.jpg,1,train
NFL/Nfl054.jpg,1,train
Fll/Fll071.jpg,1,train
NGL/Ngl027.jpg,1,train
Gzl/gzl04.jpg,1,train
A2l/Abl137.jpg,0,train
FAL/Fal090.jpg,0,train
NLL/Nll020.jpg,0,train
NGL/NGL010.JPG,1,train
New/newl053.jpg,1,train
NBL/Nbl063.jpg,1,train
A2l/Abl151.jpg,0,train
NCL/Ncl020.jpg,0,train
Fhl/Fhl046.jpg,1,train
FFL/FFL002.JPG,0,train
Ael/Ael401.jpg,0,train
A2l/Abl137.jpg,0,train
NAL/Nal005.jpg,1,train
Ggl/Ggl074.jpg,0,train
NAL/Nal073.jpg,1,train
FCL/FCL054.JPG,1,train
FDL/Fdl054.jpg,0,train
A3l/Acl239.jpg,0,train
Fgl/Fgl063.jpg,0,train
Gal/Gal191.jpg,0,train
Fgl/Fgl061.jpg,1,train
NGL/Ngl100.jpg,1,train
Gal/Gal262.jpg,1,train
NBL/Nbl065.jpg,1,train
FBL/FBL046.JPG,1,train
Gcl/Gcl058.jpg,1,train
NFL/Nfl046.jpg,0,train
FFL/Ffl062.jpg,0,train
Fil/Fil032.jpg,1,train
Adl/Adl387.jpg,0,train
NDL/Ndl074.jpg,0,train
Adl/Adl356.jpg,0,train
Gal/Gal185.jpg,1,train
NFL/Nfl036.jpg,0,train
A1l/Aal068.jpg,0,train
NGL/Ngl043.jpg,0,train
Fll/Fll071.jpg,1,train
Fll/Fll071.jpg,1,train
FDL/FDL052.JPG,1,train
A1l/Aal046.jpg,0,train
FEL/Fel080.jpg,0,train
NAL/Nal082.jpg,1,train
Fhl/Fhl040.jpg,0,train
Gal/Gal262.jpg,1,train
A3l/Acl295.jpg,0,train
A2l/Abl139.jpg,0,train
Fll/Fll085.jpg,1,train
Ael/Ael467.jpg,0,train
Gzl/gzl16.jpg,1,train
Fgl/Fgl063.jpg,0,train
NBL/Nbl098.jpg,0,train
FEL/Fel024.jpg,0,train
NCL/Ncl008.jpg,0,train
Gal/Gal039.jpg,1,train
Fll/Fll045.jpg,1,train
NGL/Ngl100.jpg,1,train
FCL/Fcl016.jpg,1,train
NGL/Ngl049.jpg,0,train
Ggl/Ggl004.jpg,0,train
FFL/Ffl066.jpg,0,train
Fil/Fil004.jpg,1,train
New/newl053.jpg,1,train
NBL/Nbl060.jpg,1,train
NML/Nml002.jpg,0,train
NBL/Nbl098.jpg,0,train
FFL/Ffl034.jpg,0,train
NAL/Nal057.jpg,1,train
FBL/Fbl082.jpg,1,train
FFL/Ffl034.jpg,0,train
FBL/Fbl010.jpg,0,train
NBL/Nbl010.jpg,1,train
NGL/Ngl004.jpg,1,train
FCl-1/Fcl068.jpg,1,train
NGL/Ngl100.jpg,1,train
Ael/Ael413.jpg,0,train
A1l/Aal002bis.jpg,1,train
A3l/Acl245.jpg,0,train
FCL/Fcl044.jpg,1,train
FEL/Fel092.jpg,0,train
A1l/Aal096.jpg,0,train
NGL/Ngl072.jpg,0,train
A3l/Acl203.jpg,0,train
NIL/Nil041.jpg,0,train
FFL/FFL020.JPG,1,train
NIL/Nil029.jpg,0,train
Gzl/gzl80.jpg,0,train
NIL/Nil078.jpg,1,train
NML/Nml024.jpg,1,train
A2l/Abl177.jpg,0,train
FAL/Fal072.jpg,0,train
NAL/Nal075.jpg,1,train
Ael/Ael508.jpg,0,train
New/newl049.jpg,1,train
NIL/Nil084.jpg,1,train
A3l/Acl263.jpg,0,train
Gal/Gal230.jpg,0,train
Fhl/Fhl096.jpg,0,train
FFL/FFL006.JPG,0,train
A1l/Aal066.jpg,0,train
Gdl/Gdl021.jpg,1,train
FCL/Fcl036.jpg,0,train
FAL/Fal100.jpg,0,train
A1l/Aal002bis.jpg,1,train
Gzl/gzl86.jpg,0,train
A3l/Acl295.jpg,0,train
Fgl/Fgl061.jpg,1,train
NFL/Nfl054.jpg,1,train
Fhl/Fhl088.jpg,0,train
Gal/Gal058.jpg,0,train
FCL/Fcl016.jpg,1,train
Adl/Adl329.jpg,0,train
Gdl/Gdl014.jpg,1,train
FDL/FDL052.JPG,1,train
NGL/Ngl096.jpg,0,train
Fhl/Fhl046.jpg,1,train
NAL/Nal075.jpg,1,train
NCL/Ncl050.jpg,0,train
Gcl/Gcl058.jpg,1,train
NGL/Ngl017.jpg,1,train
NLL/nll026.jpg,0,train
